y	H_median	S_median	V_median
4	25.7143	0.2941	0.0863
3	18.9474	0.5	0.1294
4	21.1765	0.4074	0.1216
4	25.7143	0.375	0.0941
1	48	0.1786	0.102
4	16	0.4483	0.1176
4	16.3636	0.2609	0.1098
4	25.7143	0.2778	0.0784
4	17.5	0.4857	0.1333
4	18.9474	0.3478	0.1137
